SMILES,nN.1,nBr,ATS3m,ATS5m,ATS4e,AATSm,AATS1m,AATS2m,AATS3m,AATSv,AATS1v,AATS3v,AATS3e,AATS6e,AATSp,AATS2p,AATS3i,AATS6i,AATS4s,AATS6s,ATSC8c,ATSCm,ATSC4m,ATSC7m,ATSC2v,ATSC5e,ATSC2p,ATSC4p,ATSC1i,ATSC2i,ATSC5i,ATSC6i,ATSC7i,ATSC8i,ATSC1s,ATSC4s,ATSC6s,AATSCc,AATSC4c,AATSC5c,AATSCm,AATSCv,AATSC6v,AATSCp,AATSC1p,AATSC2p,AATSC4p,AATSC1s,AATSC3s,AATSC4s,AATSC5s,AATSC6s,MATS4c,MATS2v,MATS4e,MATS6e,MATS2p,MATS1i,MATS2i,MATS6s,GATS8m,GATS2v,GATS2p,GATS7p,GATS4s,SM1_DzZ,BCUTw-1h,BCUTp-1h,bpol,SpMax1_Bhm,SpMax4_Bhm,SpMin1_Bhm,SpMin4_Bhm,SpMin1_Bhv,SpMax2_Bhi,SpMin1_Bhs,C1SP2,SCH-5,VCH-6,VP-7,Mse,Mpe,Mp,VR3_Dt,nHBint2,nHsOH,nsssN,SHBd,SHBint4,SHBint5,SaasC,minHssNH,minHCsats,minsCH3,minssCH2,maxsssCH,maxssssC,ETA_Epsilon_5,ETA_BetaP_ns_d,IC1,MIC1,MIC4,ZMIC3,ZMIC4,khs.sssN,khs.aasN,MDEC-13,RotBFrac,GGI3,JGI8,MWC4,AMW,WTPT-5,Flammability
C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-],3,,2942.562,396.988176,366.99136,166.58642,154.8651361,129.2218644,89.1533218,25.171447,231.2645678,171.1773696,8.958273697,11.838819,1.4326,0.9896892,172.841489,191.3299154,5.78418834,12.85714286,0.4916893,751.7929778,-31.529991,221.875627,-115.1463481,-2.4578512,-0.21799769,-0.69989416,7.822854737,-6.453773357,3.42378667,3.85748717,1.39728626,0.195641232,-0.47569444,-96.82284722,-15.711875,0.1684311,-0.497979,0.219822,37.58964889,24.53433432,-2.231936245,0.11995717,-0.2391591,-0.726659,-0.17946,-0.2145123,0.74288892,-2.48263718,-3.46445139,-5.3389881,-0.295616923,-0.156442459,-0.46934441,-0.286836569,-0.65467298,0.45199983,-0.23616693,-0.812182977,,1.277947245,1.443363358,0.12667726,1.277187442,2.678571429,16.447571,7.2736346,11.2235,3.638397489,3.5947861,1.69493593,0.8148911,1.78296268,3.462849115,1.449611,,,,0.398285,1.159249818,1.151568627,0.564729491,23.4191218,,,,,,,,,1.56111111,,-0.845416667,,,1.24,,2.69468571,32.5321618,41.25252933,4.26991366,34.65147376,,,,0.571428571,0.625,,5.61677198,11.3512894,8.954287692,1
C1=CC=CC=C1,,,584.17383,3.48192,83.16576,72.64925,78.185645,56.15943233,27.817814,227.33231,269.1267591,134.9472652,7.63996,,1.616756452,1.67199627,158.445693,,1.5,,,363.19827,-2.60E-01,,-337.691122,0.17787,-1.59636427,4.44E-01,2.40E-01,-8.236933,4.1184516,,,,,,,0.381469,-9.40E-19,0.381469,3.2665225,56.28185336,,0.2516671,-5.55E-01,-0.8386869,3.70E-01,,-0.35714286,,0.25,,-2.46E-01,-0.333333333,-1.15E-01,,-0.333333333,1.46E-01,-0.333333333,,,1.222222222,1.222222222,,0.916666667,-3.55E-01,12.15544,6.39342942,6.559242,3.724194531,0.94142851,1.9428786,0.31513972,1.98358493,2.83878588,1.87121455,,,0.373737,,0.971959213,0.931372549,0.699638623,9.12183551,,,,,,,,,,,,,,0.7,,1,6.53912516,6.53912516,21,21,,,,,,,4.57471979,6.53912516,,1
CC1(C2CCC1(C(=O)C2)C)C,,,362.568843,23.18868,752.326164,63.51356426,7.456526,6.14226591,44.47615856,183.2925817,242.7571887,172.131763,7.358644296,,1.3222261,1.53991198,152.1897643,,2.161858974,,,856.49265,-1517.396513,,763.7112312,-0.66495556,3.196715768,-12.1258344,2.16945825,17.991956,6.77736162,,,,-1.426173,-11.49382716,,0.53147,-0.142,-9.64E-01,31.72192617,51.7147175,,0.231624994,0.1424256,0.5682733,-0.116594562,-0.571649,-0.21376315,-0.11517569,-0.65843621,,-0.2839497,0.25983744,-0.1276279,,0.242127293,0.6713648,0.233846548,,,0.89378519,0.935822344,,1.19717558,0.25,15.99491714,1.55976768,18.449312,3.92228513,2.815824815,1.869717756,1.31193498,1.8441361,3.257245596,1.7779338,,0.13194349,0.674841,0.275253594,0.97913245,0.93159414,0.624765757,7.58611289,,,,,,,,,0.265625,2.15592593,0.85694444,0.68555556,0.28182874,0.7697,,2.134336113,21.39831786,24.9214259,18.99448751,18.99448751,,,2.449489743,,1.99355556,,6.1722888,5.63478338,,1
C1C(O1)CCl,,,1113.434692,,44.888256,195.543184,115.918161,59.7963575,85.64882246,214.6331163,248.8171797,128.538452,8.117993846,,1.598536852,1.24678319,17.8832437,,1.115226337,,,194.511136,-16.92471,,-262.2398841,,-0.9777386,-0.1787683,-3.714822566,-3.137449,,,,,-0.126851852,0.758929279,,0.2493223,-0.12789,,19.4511136,53.91537246,,0.31576221,-0.46646624,-0.56735818,-0.17979472,-0.12685185,-0.1385817,0.126488213,,,-0.6236257,-0.33994798,-0.9225691,,-0.17967944,-0.33822562,-0.171446532,,,1.15274217,1.4919697,,0.34244257,0.89758824,34.96937961,6.53799962,7.8235,3.8227453,1.12188493,1.49855745,0.8392371,1.488238277,2.873893328,1.373187274,,,,,1.31573197,0.9919678,0.67821497,1.542478897,,,,,,,,,0.34938272,,1.51311728,0.76961591,,0.9948,,2.1696447,29.392657,26.1732556,16.474269,14.4886924,,,,0.2,0.222222222,,4.672828834,9.2289246,,1
CC(=O)O,,,124.99632,,2.155392,1.566625,83.5765,69.1772523,15.62454,175.5187919,27.8856265,86.14384,9.176976,,1.8332452,0.91989995,181.176566,,1,,,353.748162,126.691568,,-42.3469954,,-0.76746521,0.242997457,-1.72572184,-4.81769138,,,,,-9.284722222,7.52833333,,0.37366333,0.735972,,44.2185225,4.72487636,,0.175177152,-0.3847937,-0.76746521,0.8999152,-1.326388889,-5.49722222,2.56944444,,,0.196943918,-0.13216273,0.472778989,,-0.4381852,-0.23915497,-0.467351928,,,1.41416455,1.381737554,,,0.5,15.99825726,4.3578892,5.33828,3.377248559,0.8392371,1.565784681,0.8392371,1.58821776,2.584115,1.25755488,1,,,,1.5462499,1.18627451,0.56969853,5.965649139,1,1,,0.929166667,,,,,,1.83333333,,,,0.92667,,2.4563962,21.9891168,0.912725717,1.21691719,1.966917187,,,1,,,,3.61917913,7.52641171,,1
CC(=O)C,,,169.4448,,6.466176,69.4856748,61.48163989,4.4887347,14.1174,167.3443949,24.242556,98.3751235,8.2944,,1.167758143,0.987768219,169.1534122,,1,,,357.52818,27.36,,27.67671762,,-0.4787574,0.8994883,-2.68529217,-3.6131963,,,,,-1.773333333,6.76,,0.11167723,0.955,,35.752818,46.5632326,,0.24855947,-0.5274558,-0.31917136,0.98899431,-0.1973737,-2.282222222,0.751111111,,,0.85481738,0.39625999,0.24249649,,-0.15582829,-0.259251836,-0.2933312,,,0.91466712,1.1498423,,,0.25,15.99491539,5.15539282,7.517242,3.41743789,0.8392371,1.7478179,0.8392371,1.68692182,2.83898285,1.47815572,,,,,0.999417334,0.9525492,0.58759299,5.965649139,,,,,,,,,,1.527777778,,,,0.89167,,1.5795594,15.31797619,0.445639424,1.8832464,2.65376139,,,2,,,,3.61917913,5.84186481,,1
CC#N,1,,42.357168,,,81.29541383,69.7646924,29.658219,14.11956,197.266535,217.7474264,86.9661749,8.278848,,1.35366452,0.9321235,197.641134,,,,,26.881148,,,-5.3937243,,-0.215892254,,-2.94212665,-4.714399888,,,,,1.8125,,,0.1456272,,,34.4816914,47.27171693,,0.2142646,-0.71187147,-0.3841751,,0.3625,-4.6875,,,,,-0.1644137,,,-0.15311672,-0.372287657,-0.426381424,,,0.881671555,0.988241372,,,0.142857143,14.4995375,4.1173161,3.939621,3.318928,0.8392371,1.5659782,0.8392371,1.553122586,2.5772952,1.3729995,,,,,0.99915279,0.963398693,0.642752395,4.352597322,,,,,,,,,,1.43555556,,,,0.83333,,1.79248125,16.8766665,,4.515789584,,,,,,,,2.564949357,6.837758183,2.2716781,1
C1=CC=C(C=C1)N,1,,971.7117,44.429616,143.13482,76.34951593,8.18545393,64.2771429,38.8428468,214.4286996,257.8376588,152.68657,7.32965584,6.718464,1.53977881,1.6292643,159.454733,184.917652,2.83333333,1,,449.3924629,-6.9818997,,-27.996822,0.7739,-1.5233578,-0.5396851,6.1235362,-8.31268166,4.37353147,1.74935229,,,-3.396825397,-0.891156463,0.76643999,0.112252,-0.695,0.51,32.9946164,52.58914396,51.714522,0.2323175,0.3752955,-0.5111228,-0.2698425,-0.24263385,-0.87256236,-0.44557823,0.3934611,0.383219955,-0.61949419,-0.18752799,-0.7113658,0.49158123,-0.21577785,0.28572514,-0.2585286,0.599991,,1.1566257,1.2112915,,1.89772727,0.142857143,14.99937,7.339644432,6.992449,3.76692982,1.958682854,1.93996393,0.7449954,1.92471681,3.61577545,1.855785546,,,0.327515,,0.983612527,0.9459839,0.675258811,2.32119966,,,,0.54694444,,,0.821759259,,,,,,,0.65556,0.7143,2.5977711,14.3766273,19.22959358,17.8252257,19.341597,,,,,0.1875,,4.89349128,6.64698923,2.49696528,1
COC1=CC=CC=C1,,,1299.358967,265.376329,163.46324,79.621585,84.17388,62.6677492,49.97534488,214.354943,254.283341,173.191663,7.542913692,6.8781312,1.48265452,1.45982631,155.4342584,172.199613,2.348484848,1.4,,543.54135,-262.9447669,99.21337669,13.3734264,-0.2298375,0.34846128,-1.784336,-3.13814896,2.2626277,0.387976862,0.88332451,3.131686999,,-0.14497222,-2.697265625,0.9966843,0.164878,-0.11615,-0.515,33.9488344,52.7963451,8.8852285,0.24132829,-0.315552,0.13938448,-0.77654561,-0.9676,-0.2713583,-0.12262983,-0.1469734,0.996684,-0.95426177,0.113293,-0.138826524,0.153231689,0.57757271,-0.143918724,0.67144929,0.212969443,,0.91288826,0.9327782,,1.245626312,0.25,15.99491639,7.3895988,1.661656,3.766842139,2.445171661,1.929136121,0.967287576,1.914982218,3.18876919,1.86148589,,,0.327515,0.2618914,0.992625637,0.953186275,0.667153593,3.4172272,,,,,,,0.99722222,,,1.6623737,,,,0.79583,0.625,2.251614472,17.2763625,25.8889467,17.46691719,16.85845859,,,0.5,0.125,0.1875,,5.43425117,6.75359468,,1
C1=CC=C(C=C1)CO,,,1317.565463,293.81925,192.827548,79.621585,81.435925,61.47756596,43.91884877,214.354943,259.53236,162.22819,7.32695867,7.243776,1.48265452,1.58563596,155.182554,179.662954,2.75641256,2,,543.54135,-19.7142916,33.7112556,-196.439851,-0.999395,-0.454937118,-1.3938559,2.48941763,-1.82324267,2.3831353,3.894497655,1.43895666,,-4.279513889,-1.379123264,-1.264973958,0.15436166,-0.789,-0.274,33.9488344,52.7963451,22.2569314,0.24132829,0.24268927,-0.18197485,-0.53476175,-0.267469618,0.112897859,-0.534322,-0.9461856,-0.21828993,-0.5114123,-0.148828485,-0.625388,-0.146364757,-0.75456,0.111698615,-0.5419458,-0.1472974,,1.1187352,1.7792785,,1.173877294,0.25,15.99794276,7.736131265,8.745656,3.77543498,2.324862878,1.96671375,0.82465212,1.93541537,3.187481169,1.874947658,,,0.327515,0.228621,0.992625637,0.953186275,0.667153593,3.4172272,,1,,0.69283333,,,0.965277778,,,,0.139722222,,,0.7474,,2.423794941,17.44988984,25.26242246,17.1845859,16.5,,,,0.125,0.1875,,5.43425117,6.75359468,,1
