SMILES,ATS8v,ATS3s,AATS4i,ATSC2c,ATSC6m,ATSC2p,ATSC4p,ATSC6p,ATSC5i,AATSCe,AATSC3i,MATS4m,MATS2v,MATS3v,MATS6v,MATS8v,MATS2e,MATS6p,MATS1s,MATS4s,GATS3c,GATS5c,GATS2m,GATS5e,GATS1s,GATS3s,GATS5s,VE3_DzZ,VE2_Dzv,BCUTc-1l,bpol,SpMin5_Bhm,SpMin5_Bhv,SpMin8_Bhv,SpMin5_Bhe,SpMin5_Bhp,SpMin7_Bhp,SpMax5_Bhi,SpMax7_Bhi,SpMax2_Bhs,SpMin7_Bhs,VPC-5,AVP-4,AVP-5,Mse,CrippenLogP,nHCsatu,ndsCH,SdCH2,SdsCH,minwHBa,mindsCH,maxdsCH,ETA_EtaP_B_RC,SIC,BIC3,MIC4,ZMIC2,Kier2,khs.dsCH,XLogP,Toxicity
C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-],865.563179,148,18.7516983,0.121734186,-192.543182,-0.21799769,-0.69989416,0.2393423,3.42378667,0.21581211,-0.41542895,-0.211821754,-0.156442459,0.1941888,-0.997195,0.6575492,0.34878569,0.12549655,-0.346967,-0.4555449,0.8488831,0.8775842,0.81198438,1.286532878,0.688171561,0.552979119,1.57945793,,1.85E-01,-0.22374812,11.2235,0.766184616,0.927277711,0.2791392,0.51974127,0.91956456,0.399277246,2.71274368,1.2938673,5.719925636,0.69237692,0.18974539,0.39978625,0.17668223,1.159249818,-1.4431,,,,,,,,0.3336,0.425618157,0.75569591,41.25252933,42.72798111,8.186851211,,0.976,1
C1=CC=CC=C1,,42,169.2999,-0.22884416,,-1.59636427,4.44E-01,,4.1184516,0.5929,-0.195246882,-5.67E-01,-0.333333333,-0.142857143,,,-0.333333333,,,,1.4761948,,1.222222222,,0.916666667,1.4761948,,-2.9672466,1.11E-01,-0.211758152,6.559242,0.31513972,0.15156259,1.53336623,0.39684383,0.419292,0.836688466,1.721464227,0.82641319,2.68285955,0.92172488,,0.64153,0.373737,0.971959213,1.6866,,,,,2,,,,0.278942946,0.25595825,6.53912516,21,2.222222222,,2.82,1
CC1(C2CCC1(C(=O)C2)C)C,,188.3333333,163.2331298,-0.17125242,,3.196715768,-12.1258344,,6.77736162,0.41268455,-0.3879267,-0.45994538,0.25983744,-0.2848252,,,0.64853968,,-0.3851972,-0.852243,1.772876,0.98943654,0.78218824,1.299616975,0.543289615,0.96991833,1.316976652,-2.8539897,0.132332,-0.2985632,18.449312,1.249629723,1.13454686,0.27677782,0.7631856,1.58262671,0.432757,2.83898285,2.16367273,3.75755262,0.117991377,5.8736879,0.8596268,0.514763,0.97913245,2.417,1,,,,0.512731481,,,0.5482,0.242734111,0.763289966,24.9214259,2.31946668,1.836734694,,2.127,1
C1C(O1)CCl,,25.74747,182.582938,-0.871825,,-0.9777386,-0.1787683,,,0.13993161,-0.99312298,-0.24378786,-0.33994798,-0.34124674,,,-0.348632834,,-0.24235237,0.241657634,0.872247812,,1.11487611,,0.849838497,1.2926638,,-1.76943236,0.8424417,-0.3766983,7.8235,0.8392371,0.2791392,1.31276256,0.943918427,0.399277246,0.94153315,1.27644823,1.17275947,2.8754719,1.345845559,,0.13363621,,1.31573197,0.624,,,,,,,,0.1363,0.57378621,0.8795882,26.1732556,16.474269,1,,0.612,1
CC(=O)O,,48,184.917652,0.1681541,,-0.76746521,0.242997457,,,0.195474,0.17651145,0.9554155,-0.13216273,-0.568111674,,,0.412746452,,-0.25327654,0.473132372,1.384857938,,0.5164246,,0.888597641,2.2764222,,-0.819228534,0.32399448,-0.35166683,5.33828,0.8392371,0.2791392,3.21542977,0.943918427,0.399277246,2.7415411,1.27644823,0.29449891,3.6558282,3.6558282,,,,1.5462499,0.99,1,,,,-0.833333333,,,0.4549,0.5,0.676879687,0.912725717,12.46691719,1.333333333,,-0.8,1
CC(=O)C,,54,184.917652,0.3284483,,-0.4787574,0.8994883,,,0.9667344,-0.321611983,0.644424857,0.39625999,-0.7738854,,,0.9799955,,-0.63697318,0.24281692,2.23659232,,0.63625371,,0.56344828,2.691271552,,-14.25527531,1.11E-01,-0.29979485,7.517242,0.8392371,0.2791392,1.73341433,0.943918427,0.399277246,0.399277246,1.27644823,1.27644823,2.81511723,0.529411765,,,,0.999417334,0.5953,2,,,,0.166666667,,,0.4549,0.389972873,0.37293251,0.445639424,12.876429,1.333333333,,0.185,1
CC#N,,18,,0.9263617,,-0.215892254,,,,0.4533222,0.971999432,,-0.1644137,-0.4733563,,,0.217573437,,0.115231788,,2.6162169,,0.633873746,,0.4159626,3.311258278,,-0.49881624,0.66782458,-0.437787238,3.939621,2.94879469,2.4692793,3.6437574,2.3763241,2.593145,2.471452193,0.19585435,0.68613863,2.44779664,2.88712131,,,,0.99915279,0.52988,1,,,,1.75,,,,0.564475468,0.331567297,,9.685714586,2,,0.31,1
C1=CC=C(C=C1)N,,66.66666667,17.8192366,0.2837254,63.7118458,-1.5233578,-0.5396851,0.424837736,4.37353147,0.24169,-0.428619844,-0.94986313,-0.18752799,-0.298585398,0.971115736,,0.18798185,0.914373999,-0.374125874,-0.6876294,1.2734496,0.999252928,1.6113989,0.87477712,1.4659991,1.116818182,0.875,-1.8914997,0.32167626,-0.33783278,6.992449,0.31513972,0.15156259,0.4392276,0.39684383,0.419292,0.399277246,1.721464227,1.27644823,3.19637694,0.514285714,0.9622545,0.56629865,0.327515,0.983612527,1.2688,,,,,0.821759259,,,0.1517,0.3435825,0.78579293,19.22959358,2.3747438,2.34375,,0.535,1
COC1=CC=CC=C1,,68.66666667,159.4347419,-0.3926932,77.6924662,0.34846128,-1.784336,0.2698889,0.387976862,0.62976938,-0.2224741,-0.352142715,0.113293,-0.155699134,0.15322395,,-0.193983988,0.8541969,-0.1936858,-0.263566385,1.83418225,0.62939199,1.58821854,0.5448373,0.871238628,1.59374495,0.79776672,-1.6187311,0.49934718,-0.34867585,1.661656,0.31513972,0.15156259,0.2791392,0.39684383,0.419292,0.135275596,1.721464227,1.523663297,3.172827911,0.423581568,0.1466882,0.55657799,0.31637843,0.992625637,2.19599,,,,,0.99722222,,,0.852,0.317945555,0.742865563,25.8889467,21.63119751,3.111111111,,1.267,1
C1=CC=C(C=C1)CO,,79.33333333,164.37634,-0.4745146,48.94175787,-0.454937118,-1.3938559,0.691477436,2.3831353,0.62976937,-0.355951721,-0.12432736,-0.148828485,-0.19443863,0.4259187,,-0.15469159,0.47755162,-0.186869835,-0.375967,0.552317883,1.45912923,1.126529912,1.4885313,1.43893564,0.5712357,1.437912213,-1.27827817,0.4337726,-0.4163483,8.745656,0.39963832,0.3574917,0.2791392,0.26264777,0.35912867,0.49528937,1.969112743,1.6963359,3.717457833,0.21367386,0.17879192,0.58341983,0.33187557,0.992625637,0.8394,,,,,0.965277778,,,0.852,0.317945555,0.78339838,25.26242246,21.27273891,3.111111111,,0.593,1
