SMILES,ATS1v,ATS4v,ATS3e,ATS1p,ATS2p,ATS3p,ATS4p,ATS3i,ATS4i,AATS4e,AATS1s,AATS2s,AATS4s,AATS5s,ATSC1e,ATSC4e,ATSC1i,AATSC2m,AATSC1e,AATSC2e,AATSC4e,AATSC2p,AATSC4i,AATSCs,AATSC2s,AATSC4s,MATS1m,MATS1e,MATS2e,MATS5p,GATS2m,GATS1e,GATS2e,GATS3e,GATS2s,SpDiam_Dzs,BCUTw-1l,BCUTp-1l,nBonds2,nBondsS,SpMax4_Bhm,SpMax5_Bhm,SpMax4_Bhv,SpMax5_Bhv,SpMin4_Bhv,SpMax4_Bhe,SpMax4_Bhp,SpMin4_Bhp,SpMax4_Bhi,SpMax5_Bhi,SpMax7_Bhs,SpMin8_Bhs,VP-2,VP-4,Sp,CrippenMR,SHdCH2,SdCH2,minHdCH2,mindsCH,minsOm,maxHdCH2,maxsCH3,gmax,MAXDN,ETA_Epsilon_5,ETA_dEpsilon_C,ETA_Eta,IC,SIC,SIC1,SIC2,CIC,CIC1,BIC,BIC1,BIC2,BIC4,McGowan_Volume,MLFER_BO,MLFER_L,W,Classification
C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-],4394.26788,5992.42143,295.62332,23.1334155,29.694276,32.45772628,32.22676122,573.754615,749.316232,9.4126564,6.92152632,11.75277778,5.78418834,11,1.1315711,-3.953189,7.822854737,4.835487971,0.58691,0.73565723,-0.112927,-0.726659,-0.13951532,6.197986111,3.387874,-2.48263718,0.121718428,0.26934488,0.34878569,0.1362497,0.81198438,0.5286657,0.7129454,1.7197996,0.31684521,41.5875295,11.999,2.95,19,16,3.5947861,2.44913757,2.711693259,2.3465131,1.21861283,3.12827236,2.5832397,1.3983915,3.14976897,2.71274368,3.762169735,0.69237692,1.88381149,0.599679369,11.29458982,43.381,,,,,9.71899943,,,9.831581633,3.266589191,1.24,-0.57734,9.7826,1.8394917,0.425618157,0.62251581,0.696146466,2.48243725,1.631459524,0.412494512,0.6332961,0.674681266,0.767346242,1.23,-0.612,4.976,0,Other
C1=CC=CC=C1,3229.52119,874.9221648,148.343916,23.41466586,3.9593172,24.3969915,9.348943289,3327.359553,228.241198,6.91848,3,2.666666667,1.5,1,8.22E-01,-8.17E-01,2.40E-01,-1.888348,6.85E-01,-0.1976333,-6.81E-01,-0.8386869,-1.96E-01,0.25,-0.83333333,,5.87E-01,1.16E-01,-0.333333333,1,1.222222222,0.916666667,1.222222222,1.4761948,1.222222222,8.666666667,11.85,6.93375,12,9,0.94142851,0.94142851,1.53336623,1.53336623,0.15156259,1.517793787,1.134811365,0.419292,1.721464227,1.721464227,0.192927699,1.21259917,1.1547538,0.3849179,8.395663473,26.442,,,,,,,,2,,0.7,,1.6667,1,0.278942946,0.278942946,0.278942946,2.58496251,2.58496251,0.25595825,0.25595825,0.25595825,0.25595825,0.7164,0.136,2.944,0,Aromatic
CC1(C2CCC1(C(=O)C2)C)C,6797.21283,141.6213,596.5188,49.83394896,87.7281983,19.721633,94.95218943,12327.3791,16976.24549,7.23395423,2.265625,1.915448343,2.161858974,1.592592593,0.3321174,-0.5183388,2.16945825,7.94282391,0.119,0.2676423,-0.498369,0.5682733,-0.632336317,1.299897119,0.42316439,-0.11517569,0.4572895,0.287419,0.64853968,0.59494292,0.78218824,0.5165179,0.45414778,0.9775523,0.4588798,35.64699118,11.89,5.46246752,28,27,2.815824815,2.333552793,2.842986527,2.45454588,1.266142219,3.28616935,2.85214978,1.211344461,3.971243,2.83898285,2.853558,0.1294435,4.916693658,2.91465647,16.86867545,44.236,,,,,,,2.25949741,11.573125,1.22453737,0.7697,-0.4942,12.65789,1.154173393,0.242734111,0.44887253,0.6843673,3.671419,2.62551389,0.237582937,0.439346328,0.66978471,0.763289966,1.3161,0.517,5.44,0,Ketone/Aldehyde
C1C(O1)CCl,2488.171797,374.657258,15.53392,17.4648155,19.8585311,14.14473357,4.68566999,2221.482168,192.349763,7.481376,2.326851852,2.51183128,1.115226337,,-0.787236,-0.7745726,-3.714822566,-31.3363111,-0.787236,-0.48784754,-0.1299543,-0.56735818,0.42115812,0.52341967,-0.12159821,0.126488213,0.15263,-0.56258625,-0.348632834,,1.11487611,0.7393945,1.2946567,0.913729516,1.28628949,1.69414267,11.99863545,4.683742849,1,1,1.12188493,0.68148272,0.77976459,0.468465563,0.2791392,1.144726464,0.94153315,0.399277246,1.28341466,1.27644823,0.69237692,1.78865523,1.418251851,0.267261242,6.7821497,2.46,,,,,,,,4.898533951,0.626371742,0.9948,-0.2119,2.81243,1.685475297,0.57378621,0.65514998,0.8795882,1.636452798,1.1696447,0.57378621,0.65514998,0.8795882,0.7795882,0.638,0.414,2.65,1,Halogen
CC(=O)O,1455.199386,93.25123329,73.41588,9.34298916,9.19899955,4.85692212,1.333838715,1449.412485,554.7529561,6.718464,5.285714286,7.766666667,1,,-0.298532,0.277248,-1.72572184,15.8233225,-0.42647429,0.86812,0.92416,-0.76746521,0.335975574,5.298611111,2.384722222,2.56944444,-0.149279849,-0.21817443,0.412746452,,0.5164246,0.91581458,0.39286688,2.215382864,0.36146789,4.28722597,11.99668798,3.92996179,7,6,0.8392371,0.8392371,0.2791392,0.2791392,0.2791392,0.943918427,0.399277246,0.399277246,1.27644823,1.27644823,0.4559879,4.699662719,0.5191836,,4.55758824,13.398,,,,,,,1.83333333,9,2.5,0.92667,-0.27738,1.42951,1.5,0.5,0.81879687,0.81879687,1.5,0.59436938,0.5,0.81879687,0.81879687,0.31879687,0.4648,0.42,1.873,0,Ketone/Aldehyde
CC(=O)C,1838.1834,279.7536999,99.5328,13.5984586,14.81652329,9.889873776,4.1516144,229.84946,1664.258868,6.718464,3.373737,3.2,1,,-2.56E-01,0.293184,-2.68529217,8.323667,-2.84E-01,0.9386987,0.2322576,-0.31917136,0.489275348,3.93333333,0.462222222,0.751111111,-0.119577883,-2.94E-01,0.9799955,,0.63625371,0.51324,0.555858155,2.68167376,0.51775862,5.9632935,11.89,3.486497794,9,8,0.8392371,0.8392371,0.2791392,0.2791392,0.2791392,0.943918427,0.399277246,0.399277246,1.27644823,1.27644823,0.529411765,2.546278942,0.9824829,,5.87592994,16.355,,,,,,,1.527777778,9.444444444,1.5,0.89167,-0.12238,1.8235,1.295461844,0.389972873,0.47293251,0.47293251,2.26466251,1.759775,0.389972873,0.47293251,0.47293251,0.1331925,0.547,0.43,1.891,0,Ketone/Aldehyde
CC#N,188.737132,,24.836544,7.96653293,6.511471645,2.24169,,592.9233912,,,5.2,3.214285714,,,-5.44E-01,,-2.94212665,6.9541184,-1.90E-01,0.9856778,,-0.3841751,,3.145833333,0.41785714,,-0.154969298,-2.40E-01,0.217573437,,0.633873746,0.5689,0.357185778,3.33313337,0.43463576,3.13139684,11.9531586,3.87472881,5,4,0.8392371,0.58613875,0.2791392,0.674798142,0.2791392,0.943918427,0.399277246,0.399277246,1.27644823,0.19585435,1.11882114,3.84863376,0.22366798,,3.856514371,11.287,,,,,,,1.43555556,7.319444444,0.75,0.83333,-0.15758,0.61833,1.459147917,0.564475468,0.69342644,0.69342644,1.125814584,0.79248125,0.519758975,0.63849474,0.63849474,,0.442,0.341,1.54,0,Nitrile
C1=CC=C(C=C1)N,369.727223,1776.242234,183.241396,25.656615,34.21454462,3.87571656,16.88274663,3986.368258,3416.384733,7.156741,3.38952381,2.968253968,2.83333333,1.555555556,-0.97664,-0.34386,6.1235362,-3.8765797,-0.6976,0.454,-0.17193,-0.5111228,-0.196823547,0.64852677,0.38548753,-0.44557823,-0.5136874,-0.28863421,0.18798185,0.37659866,1.6113989,1.43264986,0.627525618,1.1259744,0.613636364,11.7364779,11.9935511,5.4922254,14,11,1.958682854,0.94142851,1.8727899,1.53336623,0.672189892,2.269746264,1.88579669,0.613787555,2.41365846,1.721464227,0.592212916,0.592212916,1.4168363,0.45338919,9.453623353,3.8544,,,,,,,,5.357777778,0.8449747,0.65556,-0.2667,2.25723,1.295836389,0.3435825,0.526869113,0.617947585,2.511518533,1.81377211,0.3172775,0.49763535,0.5756531,0.74352937,0.8162,0.45,4.48,0,Amine
COC1=CC=CC=C1,464.453346,2929.71557,196.115756,28.3243448,36.27456577,33.94724362,24.2412362,441.29719,357.564322,7.4314727,3.21875,2.913333333,2.348484848,1.75,0.18387,-0.192343125,-3.13814896,-2.88313567,0.1149188,-0.12216517,-0.8742869,0.13938448,-0.4132637,0.465169271,-0.75863715,-0.12262983,0.3857691,0.18247751,-0.193983988,0.13883847,1.58821854,0.855342878,1.56891362,1.266371,1.38887334,16.38868148,11.85,4.66593,16,13,2.445171661,1.22888367,2.4821622,1.9197987,0.94292275,2.651594666,2.51148735,0.861166487,2.72862377,1.721464227,1.2448234,0.512195122,1.517176675,0.556577991,1.67445749,35.55,,,,,,,1.6623737,4.914166667,0.756944444,0.79583,-0.4697,3.1453,1.271782222,0.317945555,0.56293618,0.638759133,2.728217778,1.748385528,0.299388871,0.535116,0.61478374,0.812824494,0.916,0.35,3.78,0,Aromatic
C1=CC=C(C=C1)CO,4152.51776,2933.249135,219.8876,29.19121816,39.6476491,38.221117,24.579524,4653.247661,4273.78393,7.416444154,3.322916667,3.33333333,2.75641256,2.59375,-0.121445,-0.12399875,2.48941763,-7.865654527,-0.759312,-0.9741997,-0.3938457,-0.18197485,-0.38261961,1.43131514,-0.275481771,-0.534322,-0.4223151,-0.12525272,-0.15469159,0.12285,1.126529912,0.985442588,1.8839545,0.59139755,1.4181228,19.46954475,11.996328,4.267453384,16,13,2.324862878,1.37437313,2.23896996,1.258621518,0.7752729,2.5143198,2.23683584,0.7419989,2.562288238,1.969112743,1.74414493,0.53164557,1.643712443,0.583419827,1.67445749,31.688,,,,,,,,8.537592593,1.36277778,0.7474,-0.4697,3.2791,1.271782222,0.317945555,0.65948735,0.6818425,2.728217778,1.5762559,0.299388871,0.57582933,0.64211191,0.853357311,0.916,0.564,4.125,0,Hydroxyl
