SMILES,nN.1,nBr,ATS3m,ATS5m,ATS4e,AATS0m,AATS1m,AATS2m,AATS3m,AATS0v,AATS1v,AATS3v,AATS3e,AATS6e,AATS0p,AATS2p,AATS3i,AATS6i,AATS4s,AATS6s,ATSC8c,ATSC0m,ATSC4m,ATSC7m,ATSC2v,ATSC5e,ATSC2p,ATSC4p,ATSC1i,ATSC2i,ATSC5i,ATSC6i,ATSC7i,ATSC8i,ATSC1s,ATSC4s,ATSC6s,AATSC0c,AATSC4c,AATSC5c,AATSC0m,AATSC0v,AATSC6v,AATSC0p,AATSC1p,AATSC2p,AATSC4p,AATSC1s,AATSC3s,AATSC4s,AATSC5s,AATSC6s,MATS4c,MATS2v,MATS4e,MATS6e,MATS2p,MATS1i,MATS2i,MATS6s,GATS8m,GATS2v,GATS2p,GATS7p,GATS4s,SM1_DzZ,BCUTw-1h,BCUTp-1h,bpol,SpMax1_Bhm,SpMax4_Bhm,SpMin1_Bhm,SpMin4_Bhm,SpMin1_Bhv,SpMax2_Bhi,SpMin1_Bhs,C1SP2,SCH-5,VCH-6,VP-7,Mse,Mpe,Mp,VR3_Dt,nHBint2,nHsOH,nsssN,SHBd,SHBint4,SHBint5,SaasC,minHssNH,minHCsats,minsCH3,minssCH2,maxsssCH,maxssssC,ETA_Epsilon_5,ETA_BetaP_ns_d,IC1,MIC1,MIC4,ZMIC3,ZMIC4,khs.sssN,khs.aasN,MDEC-13,RotBFrac,GGI3,JGI8,MWC4,AMW,WTPT-5,Flammability,Classification
C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-],3,0,2942.050062,3906.988176,366.991036,166.508642,154.8651361,129.2218644,89.15303218,205.171447,231.2645678,171.1773696,8.958273697,11.08308819,1.000430026,0.98968092,172.8410489,191.3299154,5.784188034,12.85714286,0.040916893,751.7929778,-310.5299091,221.8750627,-115.1463481,-2.40578512,-0.21799769,-0.069989416,7.822854737,-6.453773357,3.042378667,3.857480717,1.39728626,0.195641232,-0.407569444,-96.82284722,-105.711875,0.016843011,-0.004979079,0.002190822,37.58964889,24.53433432,-2.231936245,0.110995717,-0.02391591,-0.00726659,-0.0017946,-0.021451023,0.742880892,-2.482637108,-3.464045139,-5.03389881,-0.295616923,-0.156442459,-0.46934441,-0.286836569,-0.065467298,0.451999803,-0.236166903,-0.812182977,0,1.277947245,1.443363358,0.12667726,1.277187442,2.678571429,16.00447571,7.273006346,11.022035,3.638397489,3.050947861,1.694935903,0.814089011,1.782906268,3.462849115,1.440096011,0,0,0,0.030982085,1.159249818,1.151568627,0.564729491,23.41091218,0,0,0,0,0,0,0,0,1.056111111,0,-0.845416667,0,0,1.24,0,2.690468571,32.5321618,41.25252933,40.26991366,34.65147376,0,0,0,0.571428571,0.625,0,5.616771098,11.35012894,8.954287692,1,Other
C1=CC=CC=C1,0,0,584.173803,3.048192,83.016576,72.6400925,78.1856045,56.15943233,27.81780014,227.3003231,269.1267591,134.9472652,7.063996,0,1.616756452,1.671996207,158.445693,0,1.5,0,0,363.198027,-2.06E-13,0,-337.6911202,0.017787,-1.509636427,4.44E-16,2.40E-14,-8.200369033,4.100184516,0,0,0,0,0,0,0.003814069,-9.40E-19,0.003814069,30.26650225,56.28185336,0,0.251606071,-5.55E-17,-0.08386869,3.70E-17,0,-0.035714286,0,0.25,0,-2.46E-16,-0.333333333,-1.15E-14,0,-0.333333333,1.46E-15,-0.333333333,0,0,1.222222222,1.222222222,0,0.916666667,-3.55E-15,12.1500544,6.393429402,6.559242,3.724194531,0.941428501,1.94287806,0.310513972,1.908358493,2.838078588,1.87121455,0,0,0.037037037,0,0.971959213,0.931372549,0.699638623,9.121083551,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,1,6.503912516,6.503912516,21,21,0,0,0,0,0,0,4.574710979,6.503912516,0,1,Aromatic
CC1(C2CCC1(C(=O)C2)C)C,0,0,3602.568843,203.188608,752.326164,63.51356426,70.456526,60.14226591,44.47615856,183.2925817,242.7571887,172.131763,7.358644296,0,1.32022261,1.539091198,152.1897643,0,2.161858974,0,0,856.4920065,-1517.396513,0,763.7112312,-0.066495556,3.196715768,-12.1258344,2.169405825,17.00991956,60.77736162,0,0,0,-1.402006173,-11.49382716,0,0.00503147,-0.000142,-9.64E-05,31.72192617,51.7147175,0,0.231624994,0.014024256,0.056082733,-0.116594562,-0.050071649,-0.021376315,-0.110517569,-0.065843621,0,-0.028309497,0.259083744,-0.120762709,0,0.242127293,0.060713648,0.233846548,0,0,0.893785109,0.935822344,0,1.197170558,0.25,15.99491714,10.55976768,18.449312,3.922285013,2.815824815,1.869717756,1.310193498,1.84410361,3.257245596,1.770793038,0,0.131094349,0.600748041,0.275253594,0.979013245,0.931590414,0.624765757,7.586112089,0,0,0,0,0,0,0,0,0.265625,2.155092593,0.850694444,0.680555556,0.281828704,0.7697,0,2.134336113,21.39831786,24.92014259,18.99448751,18.99448751,0,0,2.449489743,0,1.993055556,0,6.107022888,5.634078338,0,1,Ketone/Aldehyde
C1C(O1)CCl,0,0,1113.434692,0,44.888256,195.0543184,115.918161,59.79630575,85.64882246,214.6331163,248.8171797,128.0538452,8.117993846,0,1.598536852,1.240678319,170.8832437,0,1.115226337,0,0,1094.511136,-160.092471,0,-262.2398841,0,-0.907773086,-0.10787683,-3.714822566,-3.01307449,0,0,0,0,-0.126851852,0.758929279,0,0.020493223,-0.001278009,0,109.4511136,53.91537246,0,0.315762021,-0.046646624,-0.056735818,-0.017979472,-0.012685185,-0.100385817,0.126488213,0,0,-0.062362507,-0.303994798,-0.092256091,0,-0.179679044,-0.338202562,-0.171446532,0,0,1.152074217,1.040919697,0,0.034244257,0.897058824,34.96937961,6.503799962,7.802035,3.822700453,1.121088493,1.498505745,0.083923071,1.488238277,2.873893328,1.373187274,0,0,0,0,1.031573197,0.990196078,0.678201497,1.542478897,0,0,0,0,0,0,0,0,0.304938272,0,1.051311728,0.706961591,0,0.99048,0,2.160964047,29.3926507,26.1732556,16.47402609,14.48086924,0,0,0,0.2,0.222222222,0,4.672828834,9.200289246,0,1,Halogen
CC(=O)O,0,0,124.996032,0,20.155392,100.5660625,83.005765,69.1772523,15.624504,175.5187919,207.8856265,86.10400384,9.176976,0,1.080332452,0.910989995,181.1765606,0,1,0,0,353.748162,126.6915068,0,-42.03469954,0,-0.76746521,0.242997457,-1.72572184,-4.817691308,0,0,0,0,-9.284722222,7.520833333,0,0.037366333,0.007359072,0,44.21852025,40.72487636,0,0.175177152,-0.038479307,-0.076746521,0.080999152,-1.326388889,-5.409722222,2.506944444,0,0,0.196943918,-0.103216273,0.472778989,0,-0.438108052,-0.239154097,-0.467351928,0,0,1.041416455,1.381737554,0,0,0.5,15.99825726,4.357880902,5.330828,3.377248559,0.083923071,1.565784681,0.083923071,1.588217076,2.58004115,1.257055488,1,0,0,0,1.054624909,1.018627451,0.569698503,5.965649139,1,1,0,0.929166667,0,0,0,0,0,1.083333333,0,0,0,0.92667,0,2.405639062,21.90891168,0.912725717,10.21691719,1.966917187,0,0,1,0,0,0,3.610917913,7.502641171,0,1,Ketone/Aldehyde
CC(=O)C,0,0,169.40448,0,60.466176,69.4856748,61.48163989,40.48873407,14.11704,167.3443949,204.242556,98.3751235,8.2944,0,1.167758143,0.987768219,169.1534122,0,1,0,0,357.528108,207.36,0,27.67671762,0,-0.47875704,0.890094883,-2.685209217,-3.61310963,0,0,0,0,-1.773333333,6.76,0,0.011167723,0.000955,0,35.7528108,46.56323026,0,0.204855947,-0.052704558,-0.031917136,0.098899431,-0.197037037,-2.282222222,0.751111111,0,0,0.085481738,0.039625999,0.240249649,0,-0.155802829,-0.259251836,-0.209303312,0,0,0.914667102,1.104980423,0,0,0.25,15.99491539,5.155392082,7.517242,3.417437809,0.083923071,1.704078179,0.083923071,1.686902182,2.838982085,1.478155702,0,0,0,0,0.999417334,0.95254902,0.587590299,5.965649139,0,0,0,0,0,0,0,0,0,1.527777778,0,0,0,0.89167,0,1.570950594,15.31797619,0.445639424,10.88324604,2.653076139,0,0,2,0,0,0,3.610917913,5.804186481,0,1,Ketone/Aldehyde
CC#N,1,0,42.357168,0,0,81.29541383,69.7646924,29.658219,14.119056,197.266535,217.7474264,86.9661749,8.278848,0,1.353606452,0.930210235,197.6411304,0,0,0,0,206.8810148,0,0,-5.309037243,0,-0.215892254,0,-2.940212665,-4.714399888,0,0,0,0,1.8125,0,0,0.014560272,0,0,34.48016914,47.27171693,0,0.201426406,-0.071187147,-0.030841751,0,0.3625,-4.6875,0,0,0,0,-0.016044137,0,0,-0.15311672,-0.372287657,-0.426381424,0,0,0.881671555,0.988241372,0,0,0.142857143,14.04995375,4.117300161,3.939621,3.30180928,0.083923071,1.565970802,0.083923071,1.553122586,2.507720952,1.37029995,0,0,0,0,0.999150279,0.963398693,0.642752395,4.352597322,0,0,0,0,0,0,0,0,0,1.430555556,0,0,0,0.83333,0,1.79248125,16.87666605,0,4.515789584,0,0,0,0,0,0,0,2.564949357,6.837758183,2.207106781,1,Nitrile
C1=CC=C(C=C1)N,1,0,971.070117,44.429616,143.13482,76.34951593,80.18545393,64.20771429,38.84280468,214.4286996,257.8376588,152.686057,7.32965584,6.718464,1.503977881,1.62926403,159.4547303,184.917652,2.083333333,1,0,449.3924629,-60.98018997,0,-207.0996822,0.007739,-1.05233578,-0.53968051,6.123503062,-8.310268166,4.373530147,1.749305229,0,0,-3.396825397,-0.891156463,0.766439909,0.01122502,-0.000695,0.00051,32.09946164,52.58914396,51.07014522,0.232310705,0.03752955,-0.050111228,-0.026984025,-0.242630385,-0.087256236,-0.044557823,0.039304611,0.383219955,-0.061949419,-0.187527099,-0.07113658,0.491580123,-0.215707785,0.285720514,-0.258502806,0.590909091,0,1.156602507,1.21120915,0,1.089772727,0.142857143,14.00909937,7.339644432,6.992449,3.760692982,1.958682854,1.939963093,0.740499054,1.924071681,3.061577545,1.855785546,0,0,0.032075015,0,0.983612527,0.945098039,0.675258811,2.302119966,0,0,0,0.540694444,0,0,0.821759259,0,0,0,0,0,0,0.65556,0.07143,2.005977711,14.37660273,19.22959358,17.82522507,19.34015907,0,0,0,0,0.1875,0,4.890349128,6.64698923,2.490696528,1,Amine
COC1=CC=CC=C1,0,0,1299.358967,265.376329,163.460324,79.621585,84.173088,62.66707492,49.97534488,214.3549403,254.0283341,173.1916063,7.542913692,6.8781312,1.482650452,1.450982631,155.4342584,172.1996103,2.348484848,1.4,0,543.054135,-262.9447669,99.21337669,13.3734264,-0.002298375,0.348461208,-1.708400336,-3.103814896,2.262620707,0.387976862,0.883320451,3.131686999,0,-0.144097222,-2.697265625,0.990668403,0.010648078,-0.001016105,-0.000515,33.94088344,52.79630451,8.088520285,0.241328029,-0.030155052,0.013938448,-0.077654561,-0.009006076,-0.027135083,-0.122602983,-0.014069734,0.09906684,-0.095426177,0.010132093,-0.138826524,0.153231689,0.057757271,-0.143918724,0.067144929,0.212969443,0,0.912888206,0.90327782,0,1.245626312,0.25,15.99491639,7.380905988,10.661656,3.766842139,2.445171661,1.929136121,0.967287576,1.914982218,3.188769109,1.860148589,0,0,0.032075015,0.02618914,0.992625637,0.953186275,0.667153593,3.041720272,0,0,0,0,0,0,0.909722222,0,0,1.662037037,0,0,0,0.79583,0.0625,2.251614472,17.27636205,25.08889467,17.46691719,16.85845859,0,0,0.5,0.125,0.1875,0,5.043425117,6.75359468,0,1,Aromatic
C1=CC=C(C=C1)CO,0,0,1317.565463,293.081925,192.827548,79.621585,81.43059025,61.47756596,43.91884877,214.3549403,259.53236,162.0022819,7.302695867,7.243776,1.482650452,1.585630596,155.1082554,179.6629054,2.756410256,2,0,543.054135,-109.7142916,33.07112556,-196.439851,-0.0999395,-0.454937118,-1.390380559,2.408941763,-1.820324267,2.383130503,3.894497655,1.043895666,0,-4.279513889,-1.379123264,-1.264973958,0.015436166,-0.000789,-0.000274,33.94088344,52.79630451,22.20569314,0.241328029,0.024268927,-0.018197485,-0.053476175,-0.267469618,0.112897859,-0.053043202,-0.094618056,-0.210828993,-0.051141203,-0.148828485,-0.06253808,-0.146364757,-0.0754056,0.111698615,-0.054019458,-0.1472974,0,1.110873052,1.077902785,0,1.173877294,0.25,15.99794276,7.736131265,8.745656,3.775403498,2.324862878,1.960671375,0.82465212,1.935410537,3.187481169,1.874947658,0,0,0.032075015,0.020286021,0.992625637,0.953186275,0.667153593,3.041720272,0,1,0,0.692083333,0,0,0.965277778,0,0,0,0.139722222,0,0,0.74074,0,2.423794941,17.44988984,25.26242246,17.10845859,16.5,0,0,0,0.125,0.1875,0,5.043425117,6.75359468,0,1,Hydroxyl
