SMILES,ATS1v,ATS4v,ATS3e,ATS1p,ATS2p,ATS3p,ATS4p,ATS3i,ATS4i,AATS4e,AATS1s,AATS2s,AATS4s,AATS5s,ATSC1e,ATSC4e,ATSC1i,AATSC2m,AATSC1e,AATSC2e,AATSC4e,AATSC2p,AATSC4i,AATSC0s,AATSC2s,AATSC4s,MATS1m,MATS1e,MATS2e,MATS5p,GATS2m,GATS1e,GATS2e,GATS3e,GATS2s,SpDiam_Dzs,BCUTw-1l,BCUTp-1l,nBonds2,nBondsS,SpMax4_Bhm,SpMax5_Bhm,SpMax4_Bhv,SpMax5_Bhv,SpMin4_Bhv,SpMax4_Bhe,SpMax4_Bhp,SpMin4_Bhp,SpMax4_Bhi,SpMax5_Bhi,SpMax7_Bhs,SpMin8_Bhs,VP-2,VP-4,Sp,CrippenMR,SHdCH2,SdCH2,minHdCH2,mindsCH,minsOm,maxHdCH2,maxsCH3,gmax,MAXDN,ETA_Epsilon_5,ETA_dEpsilon_C,ETA_Eta,IC0,SIC0,SIC1,SIC2,CIC0,CIC1,BIC0,BIC1,BIC2,BIC4,McGowan_Volume,MLFER_BO,MLFER_L,Reactivity,Classification
C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-],4394.026788,5992.402143,295.623032,23.10334155,29.6904276,32.45772628,32.22676122,5703.754615,7049.316232,9.410026564,6.921052632,11.75277778,5.784188034,11,1.10315711,-3.95031809,7.822854737,4.835487971,0.058060901,0.073565723,-0.101290207,-0.00726659,-0.139051532,6.197986111,3.038078704,-2.482637108,0.121718428,0.269034488,0.340878569,0.013624907,0.811098438,0.520866507,0.71029454,1.071979906,0.316840521,41.5875295,11.999,2.9005,19,16,3.050947861,2.44913757,2.711693259,2.304651301,1.218610283,3.120827236,2.580032397,1.309839015,3.149760897,2.712743068,3.762169735,0.692307692,1.883810149,0.599679369,11.29458982,43.381,0,0,0,0,9.710899943,0,0,9.831581633,3.266589191,1.24,-0.57734,9.07826,1.83949107,0.425618157,0.62251581,0.696146466,2.482437025,1.631459524,0.412494512,0.603320961,0.674681266,0.767346242,1.23,-0.612,4.976,1,Other
C1=CC=CC=C1,3229.521109,874.9221648,148.343916,23.41466586,30.09593172,24.39690915,9.348943289,3327.359553,2028.241198,6.918048,3,2.666666667,1.5,1,8.22E-16,-8.17E-16,2.40E-14,-10.08883408,6.85E-17,-0.001976333,-6.81E-17,-0.08386869,-1.96E-15,0.25,-0.083333333,0,5.87E-16,1.16E-14,-0.333333333,1,1.222222222,0.916666667,1.222222222,1.047619048,1.222222222,8.666666667,11.85,6.093375,12,9,0.941428501,0.941428501,1.053336623,1.053336623,0.150156259,1.517793787,1.134811365,0.041902902,1.721464227,1.721464227,0.192927699,1.201259917,1.154700538,0.384900179,8.395663473,26.442,0,0,0,0,0,0,0,2,0,0.7,0,1.6667,1,0.278942946,0.278942946,0.278942946,2.584962501,2.584962501,0.255958025,0.255958025,0.255958025,0.255958025,0.7164,0.136,2.944,0,Aromatic
CC1(C2CCC1(C(=O)C2)C)C,6797.201283,10041.6213,596.050188,49.83394896,87.7281983,109.7216033,94.95218943,12327.37091,16976.24549,7.233905423,2.265625,1.915448343,2.161858974,1.592592593,0.003321174,-0.518303808,2.169405825,7.942802391,0.000119,0.002676423,-0.00498369,0.056082733,-0.632336317,1.299897119,0.042316439,-0.110517569,0.045720895,0.00287419,0.064853968,0.590494292,0.782180824,0.501650179,0.454014778,0.977552003,0.458080798,35.64699118,11.89,5.046246752,28,27,2.815824815,2.333552793,2.842986527,2.405454588,1.266142219,3.028616935,2.852104978,1.211344461,3.0971243,2.838982085,2.085305508,0.102944305,4.916693658,2.901465647,16.86867545,44.236,0,0,0,0,0,0,2.259490741,11.573125,1.224537037,0.7697,-0.04942,12.65789,1.154173393,0.242734111,0.448872053,0.684306703,3.600714109,2.620551389,0.237582937,0.439346328,0.66978471,0.763289966,1.3161,0.517,5.044,0,Ketone/Aldehyde
C1C(O1)CCl,2488.171797,374.6572058,105.53392,17.46480155,19.85085311,14.14473357,4.685669099,2221.482168,1092.349763,7.481376,2.326851852,2.051183128,1.115226337,0,-0.0787236,-0.07745726,-3.714822566,-31.30363111,-0.00787236,-0.048784754,-0.012909543,-0.056735818,0.421158102,0.523419067,-0.121509821,0.126488213,0.010052063,-0.056258625,-0.348632834,0,1.114807611,0.739309045,1.294605607,0.913729516,1.286028949,10.69414267,11.99863545,4.683742849,10,10,1.121088493,0.681482702,0.779760459,0.468465563,0.270913902,1.144726464,0.94153315,0.399277246,1.208341466,1.207644823,0.692307692,1.708865523,1.418251851,0.267261242,6.78201497,20.46,0,0,0,0,0,0,0,4.898533951,0.626371742,0.99048,-0.2119,2.81243,1.685475297,0.507378621,0.650514998,0.879588002,1.636452798,1.160964047,0.507378621,0.650514998,0.879588002,0.779588002,0.6038,0.414,2.605,1,Halogen
CC(=O)O,1455.199386,93.25123329,73.415808,9.342980916,9.109899955,4.856920212,1.333838715,1449.412485,554.7529561,6.718464,5.285714286,7.766666667,1,0,-0.298532,0.277248,-1.72572184,15.82330225,-0.042647429,0.0806812,0.092416,-0.076746521,0.335975574,5.298611111,2.384722222,2.506944444,-0.149279849,-0.21817443,0.412746452,0,0.510604246,0.910581458,0.390286688,2.215382864,0.36146789,4.287225097,11.99668798,3.092996179,7,6,0.083923071,0.083923071,0.270913902,0.270913902,0.270913902,0.943918427,0.399277246,0.399277246,1.207644823,1.207644823,0.045509879,4.699662719,0.519018036,0,4.557588024,13.3098,0,0,0,0,0,0,1.083333333,9,2.5,0.92667,-0.27738,1.42951,1.5,0.5,0.801879687,0.801879687,1.5,0.594360938,0.5,0.801879687,0.801879687,0.301879687,0.4648,0.402,1.873,0,Ketone/Aldehyde
CC(=O)C,1838.183004,279.7536999,99.5328,13.59840586,14.81652329,9.889873776,4.001516144,2029.840946,1664.258868,6.718464,3.37037037,3.2,1,0,-2.56E-06,0.20903184,-2.685209217,8.300023667,-2.84E-07,0.009386987,0.02322576,-0.031917136,0.489275348,3.093333333,0.462222222,0.751111111,-0.119577883,-2.94E-06,0.097099955,0,0.636205371,0.50001324,0.555858155,2.680167376,0.510775862,5.900632935,11.89,3.486497794,9,8,0.083923071,0.083923071,0.270913902,0.270913902,0.270913902,0.943918427,0.399277246,0.399277246,1.207644823,1.207644823,0.529411765,2.546278942,0.90824829,0,5.875902994,16.355,0,0,0,0,0,0,1.527777778,9.444444444,1.5,0.89167,-0.12238,1.82035,1.295461844,0.389972873,0.472903251,0.472903251,2.026466251,1.7509775,0.389972873,0.472903251,0.472903251,0.13310925,0.547,0.403,1.891,0,Ketone/Aldehyde
CC#N,1088.737132,0,24.836544,7.96653293,6.511471645,2.2004169,0,592.9233912,0,0,5.2,3.214285714,0,0,-5.44E-06,0,-2.940212665,6.954118004,-1.09E-06,0.009856778,0,-0.030841751,0,3.145833333,0.401785714,0,-0.154969298,-2.40E-05,0.217573437,0,0.633873746,0.500060089,0.357185778,3.333133037,0.430463576,3.131396084,11.95310586,3.087472881,5,4,0.083923071,0.580613875,0.270913902,0.674798142,0.270913902,0.943918427,0.399277246,0.399277246,1.207644823,0.195850435,1.029548212,3.769042034,0.223606798,0,3.856514371,11.287,0,0,0,0,0,0,1.430555556,7.319444444,0.75,0.83333,-0.15758,0.61833,1.459147917,0.564475468,0.693426404,0.693426404,1.125814584,0.79248125,0.519758975,0.638494704,0.638494704,0,0.4042,0.341,1.54,0,Nitrile
C1=CC=C(C=C1)N,3609.727223,1776.242234,183.241396,25.60506615,34.21454462,30.87571656,16.88274663,3986.368258,3416.384733,7.156741,3.380952381,2.968253968,2.083333333,1.555555556,-0.097664,-0.034386,6.123503062,-3.807657097,-0.006976,0.000454,-0.0017193,-0.050111228,-0.196823547,0.648526077,0.038548753,-0.044557823,-0.050136874,-0.288634201,0.018798185,0.376590866,1.006113989,1.432640986,0.627525618,1.120509744,0.613636364,11.73064779,11.99355101,5.400922254,14,11,1.958682854,0.941428501,1.870278099,1.053336623,0.672189892,2.269746264,1.88579669,0.613787555,2.413658046,1.721464227,0.592212916,0.592212916,1.410683603,0.453038919,9.453623353,30.8544,0,0,0,0,0,0,0,5.357777778,0.844907407,0.65556,-0.02667,2.25723,1.295836389,0.340350825,0.526869113,0.617947585,2.511518533,1.801377211,0.317027075,0.490763535,0.575600531,0.74352937,0.8162,0.45,4.048,0,Amine
COC1=CC=CC=C1,4064.453346,2929.701557,196.115756,28.32043448,36.27456577,33.94724362,24.24120362,4041.290719,3507.564322,7.430014727,3.21875,2.913333333,2.348484848,1.75,0.018387,-0.192343125,-3.103814896,-2.883135067,0.001149188,-0.012216517,-0.008742869,0.013938448,-0.413026307,0.465169271,-0.075863715,-0.122602983,0.038570691,0.018247751,-0.193983988,0.013883847,1.058821854,0.855342878,1.56891362,1.206063071,1.308887334,16.38868148,11.85,4.660590003,16,13,2.445171661,1.228883067,2.48201622,1.091979087,0.904292275,2.651594666,2.51148735,0.861166487,2.728062377,1.721464227,1.024048234,0.512195122,1.517176675,0.556577991,10.67445749,35.055,0,0,0,0,0,0,1.662037037,4.914166667,0.756944444,0.79583,-0.04697,3.01453,1.271782222,0.317945555,0.562903618,0.638759133,2.728217778,1.748385528,0.299388871,0.530050116,0.601478374,0.812824494,0.916,0.35,3.78,0,Aromatic
C1=CC=C(C=C1)CO,4152.51776,2933.249135,219.080876,29.19121816,39.64076491,38.2211107,24.57009524,4653.247661,4273.783903,7.416444154,3.322916667,3.033333333,2.756410256,2.59375,-0.121445,-0.102399875,2.408941763,-7.865654527,-0.007590312,-0.009741997,-0.003938457,-0.018197485,-0.308261961,1.431315104,-0.275481771,-0.053043202,-0.042231501,-0.120525272,-0.154691509,0.12002805,1.126529912,0.985442588,1.008839545,0.509139755,1.041801228,19.46954475,11.99632008,4.267453384,16,13,2.324862878,1.37437313,2.238969906,1.258621518,0.770527029,2.501430198,2.236830584,0.741099089,2.562288238,1.969112743,1.074414493,0.53164557,1.643712443,0.583419827,10.67445749,31.6088,0,0,0,0,0,0,0,8.537592593,1.360277778,0.74074,-0.04697,3.27901,1.271782222,0.317945555,0.605948735,0.68180425,2.728217778,1.576205059,0.299388871,0.570582933,0.642011191,0.853357311,0.916,0.564,4.125,0,Hydroxyl
