SMILES,ATS8v,ATS3s,AATS4i,ATSC2c,ATSC6m,ATSC2p,ATSC4p,ATSC6p,ATSC5i,AATSC0e,AATSC3i,MATS4m,MATS2v,MATS3v,MATS6v,MATS8v,MATS2e,MATS6p,MATS1s,MATS4s,GATS3c,GATS5c,GATS2m,GATS5e,GATS1s,GATS3s,GATS5s,VE3_DzZ,VE2_Dzv,BCUTc-1l,bpol,SpMin5_Bhm,SpMin5_Bhv,SpMin8_Bhv,SpMin5_Bhe,SpMin5_Bhp,SpMin7_Bhp,SpMax5_Bhi,SpMax7_Bhi,SpMax2_Bhs,SpMin7_Bhs,VPC-5,AVP-4,AVP-5,Mse,CrippenLogP,nHCsatu,ndsCH,SdCH2,SdsCH,minwHBa,mindsCH,maxdsCH,ETA_EtaP_B_RC,SIC0,BIC3,MIC4,ZMIC2,Kier2,khs.dsCH,XLogP,Toxicity,Classification
C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-],865.5631079,148,180.7516983,0.121734186,-192.5431802,-0.21799769,-0.069989416,0.239034023,3.042378667,0.21581211,-0.410542895,-0.211821754,-0.156442459,0.019041888,-0.09097195,0.065750492,0.340878569,0.102549655,-0.003460967,-0.400555449,0.848880301,0.807075842,0.811098438,1.286532878,0.688171561,0.552979119,1.579457093,0,1.85E-17,-0.202374812,11.022035,0.766184616,0.927277711,0.270913902,0.519074127,0.919506456,0.399277246,2.712743068,1.209386073,5.719925636,0.692307692,0.189745309,0.039978625,0.017668223,1.159249818,-1.4431,0,0,0,0,0,0,0,0.03336,0.425618157,0.705569591,41.25252933,42.72798111,8.186851211,0,0.976,1,Other
C1=CC=CC=C1,0,42,169.0200999,-0.022884416,0,-1.509636427,4.44E-16,0,4.100184516,0.005929,-0.195246882,-5.67E-16,-0.333333333,-0.142857143,0,0,-0.333333333,0,0,0,1.047619048,0,1.222222222,0,0.916666667,1.047619048,0,-20.96702466,1.11E-16,-0.211758152,6.559242,0.310513972,0.150156259,1.053336623,0.396843083,0.041902902,0.836688466,1.721464227,0.826413109,2.68285955,0.921724808,0,0.06415003,0.037037037,0.971959213,1.6866,0,0,0,0,2,0,0,0,0.278942946,0.255958025,6.503912516,21,2.222222222,0,2.082,1,Aromatic
CC1(C2CCC1(C(=O)C2)C)C,0,188.3333333,163.2331298,-0.017125242,0,3.196715768,-12.1258344,0,60.77736162,0.041268455,-0.387920067,-0.459945308,0.259083744,-0.284082052,0,0,0.064853968,0,-0.038519702,-0.085020243,1.007728706,0.98943654,0.782180824,1.299616975,0.543289615,0.969091833,1.316976652,-2.805390897,0.001320332,-0.29856032,18.449312,1.249629723,1.134540686,0.270677782,0.76031856,1.058262671,0.432007507,2.838982085,2.163067273,3.750755262,0.117991377,5.873068079,0.080596268,0.050147063,0.979013245,2.4017,1,0,0,0,0.512731481,0,0,0.05482,0.242734111,0.763289966,24.92014259,20.31946668,1.836734694,0,2.127,1,Ketone/Aldehyde
C1C(O1)CCl,0,25.07407407,182.0582938,-0.087018205,0,-0.907773086,-0.10787683,0,0,0.13993161,-0.099312298,-0.243780786,-0.303994798,-0.034124674,0,0,-0.348632834,0,-0.024235237,0.241657634,0.872247812,0,1.114807611,0,0.849838497,1.209206638,0,-1.760943236,0.008424417,-0.370669083,7.802035,0.083923071,0.270913902,1.31276256,0.943918427,0.399277246,0.94153315,1.207644823,1.172705947,2.800754719,1.345845559,0,0.133630621,0,1.031573197,0.624,0,0,0,0,0,0,0,0.01363,0.507378621,0.879588002,26.1732556,16.47402609,1,0,0.612,1,Halogen
CC(=O)O,0,48,184.917652,0.16081541,0,-0.76746521,0.242997457,0,0,0.195474,0.17651145,0.955041055,-0.103216273,-0.568111674,0,0,0.412746452,0,-0.250327654,0.473132372,1.384857938,0,0.510604246,0,0.888597641,2.270642202,0,-0.819228534,0.032399448,-0.351666803,5.330828,0.083923071,0.270913902,3.215402977,0.943918427,0.399277246,2.070415411,1.207644823,0.294498901,3.655802802,3.655802802,0,0,0,1.054624909,0.0909,1,0,0,0,-0.833333333,0,0,0.04549,0.5,0.676879687,0.912725717,12.46691719,1.333333333,0,-0.08,1,Ketone/Aldehyde
CC(=O)C,0,54,184.917652,0.032844803,0,-0.47875704,0.890094883,0,0,0.09667344,-0.321611983,0.644424857,0.039625999,-0.773880054,0,0,0.097099955,0,-0.063697318,0.242816092,2.230659232,0,0.636205371,0,0.560344828,2.691271552,0,-14.25527531,1.11E-16,-0.29979485,7.517242,0.083923071,0.270913902,1.733401433,0.943918427,0.399277246,0.399277246,1.207644823,1.207644823,2.815110723,0.529411765,0,0,0,0.999417334,0.5953,2,0,0,0,0.166666667,0,0,0.04549,0.389972873,0.372903251,0.445639424,12.8764029,1.333333333,0,0.185,1,Ketone/Aldehyde
CC#N,0,18,0,0.009263617,0,-0.215892254,0,0,0,0.045303222,0.971999432,0,-0.016044137,-0.473003563,0,0,0.217573437,0,0.115231788,0,2.616200169,0,0.633873746,0,0.410596026,3.311258278,0,-0.498816024,0.066782458,-0.437787238,3.939621,2.094879469,2.046927903,3.060437574,2.376032401,2.05930145,2.471452193,0.195850435,0.686130863,2.447079664,2.887120131,0,0,0,0.999150279,0.52988,1,0,0,0,1.75,0,0,0,0.564475468,0.331567297,0,9.685714586,2,0,0.031,1,Nitrile
C1=CC=C(C=C1)N,0,66.66666667,170.8192366,0.028037254,63.71108458,-1.05233578,-0.53968051,0.424837736,4.373530147,0.024169,-0.428619844,-0.094986313,-0.187527099,-0.298585398,0.971115736,0,0.018798185,0.914373999,-0.374125874,-0.068706294,1.020734496,0.999252928,1.006113989,0.874770712,1.465909091,1.116818182,0.875,-1.80914997,0.032167626,-0.337083278,6.992449,0.310513972,0.150156259,0.43902276,0.396843083,0.041902902,0.399277246,1.721464227,1.207644823,3.190637694,0.514285714,0.096225045,0.056629865,0.032075015,0.983612527,1.2688,0,0,0,0,0.821759259,0,0,0.01517,0.340350825,0.708579293,19.22959358,20.3747438,2.34375,0,0.535,1,Amine
COC1=CC=CC=C1,0,68.66666667,159.4347419,-0.03926932,77.60924662,0.348461208,-1.708400336,0.206098889,0.387976862,0.062976938,-0.20224741,-0.352142715,0.010132093,-0.155699134,0.153202395,0,-0.193983988,0.085401969,-0.019360858,-0.263566385,1.083418225,0.629391909,1.058821854,0.54483073,0.871238628,1.059374495,0.797760672,-1.601807311,0.049934718,-0.348675805,10.661656,0.310513972,0.150156259,0.270913902,0.396843083,0.041902902,0.135275596,1.721464227,1.523663297,3.172827911,0.423581568,0.146608802,0.055657799,0.031637843,0.992625637,2.19599,0,0,0,0,0.909722222,0,0,0.00852,0.317945555,0.742865563,25.08889467,21.63119751,3.111111111,0,1.267,1,Aromatic
C1=CC=C(C=C1)CO,0,79.33333333,164.376304,-0.047450146,48.94175787,-0.454937118,-1.390380559,0.691477436,2.383130503,0.062976937,-0.355951721,-0.12432736,-0.148828485,-0.194430863,0.420591807,0,-0.154691509,0.477550162,-0.186869835,-0.037059067,0.552317883,1.405912923,1.126529912,1.488050313,1.043893564,0.507012357,1.437912213,-1.278278107,0.043377206,-0.41603483,8.745656,0.399630832,0.357490107,0.270913902,0.262604777,0.305912867,0.049528937,1.969112743,1.609603359,3.717457833,0.213673086,0.178709192,0.058341983,0.033187557,0.992625637,0.8394,0,0,0,0,0.965277778,0,0,0.00852,0.317945555,0.78339838,25.26242246,21.27273891,3.111111111,0,0.593,1,Hydroxyl
C1=CC=C(C=C1)Br,0,41.05555556,163.3007376,-0.008793358,0,-0.550864605,-0.946612601,0,2.857937467,0.027913187,-0.174008339,-0.199468551,-0.17365957,-0.12917082,0,0,-0.007315091,0,-0.013471243,0.001069899,0.979422487,1.027576121,0.612734982,2.151720401,0.944076685,1.039207175,0.002840767,-1.577998403,0.007104014,-0.157621365,6.756035,0.235246455,0.079281763,1.053336623,0.419253988,0.036663149,0.937926057,1.710518471,0.80063568,2.708963957,0.949646734,0.327326835,0.089986535,0.051333497,0.99098689,2.4491,0,0,0,0,1.555555556,0,0,0.01517,0.36960253,0.560220928,34.41485196,30.93708731,2.34375,0,1.78,1,Halogen
CCCCO,0,56,174.3551901,-0.030158905,46.41805345,-1.322907936,-0.312574207,0.229415925,3.227370407,0.068999716,-0.061355582,0.014984874,-0.290411039,-0.019379184,0.479283902,0,-0.092693303,0.395968186,-0.139751553,0.007763975,0.682609768,1.778836743,1.268349503,1.920357031,1.086956522,0.755797101,1.927536232,-1.581788125,0.013572674,-0.421714133,10.93207,0.386668987,0.313824953,0.270913902,0.301168549,0.234438588,0.399277246,1.896289791,1.207644823,3.353072127,0.615384615,0,0.158113883,0,0.98465647,0.7788,0,0,0,0,0,0,0,-4.00E-05,0.296639618,0.802805314,15.11875186,12.79750363,4,0,0.851,1,Hydroxyl
CC(C)CO,0,70.33333333,182.8513033,-0.029376669,0,-0.316483651,1.514976868,0,2.322779618,0.068999716,-0.536071561,0.024966889,-0.087336685,-0.397555336,0,0,-0.078944841,0,-0.18368159,-0.183272322,0.644079106,1.100354501,1.126188845,0,1.134012414,0.687967531,0,-2.585759682,0.027243568,-0.421345168,10.93207,0.349430602,0.209105972,0.270913902,0.366012371,0.104894844,0.399277246,1.7777981,1.207644823,3.323047619,0.585365854,0,0,0,0.98465647,0.6347,0,0,0,0,0,0,0,0.02879,0.296639618,0.684527443,10.26557251,14.32892941,2.25,0,0.579,1,Hydroxyl
CC(C)(C)O,0,96,184.917652,0.078127426,0,-0.045202434,2.752991098,0,0,0.068999716,-0.627561218,0.486660503,0.159936446,-0.897548671,0,0,0.110676811,0,-0.292166388,0.192879915,2.013787532,0,0.738816234,0,1.238044633,2.439957492,0,-17.91025492,0.020591637,-0.415690965,10.93207,0.083923071,0.270913902,0.270913902,0.943918427,0.399277246,0.399277246,1.207644823,1.207644823,3.062952642,0.551724138,0,0,0,0.98465647,0.7772,0,0,0,0,0,0,0,0.0828,0.296639618,0.374927936,0.7081369,16.24544595,1,0,0.801,1,Hydroxyl
CCOCCOCCO,1466.013906,116,162.1534183,-0.239125265,-33.3319558,-1.27770724,-1.88195872,1.275930009,-1.846815433,0.121364733,0.319024761,-0.046933474,-0.182148618,0.087669455,0.109135284,-0.0529573,-0.289239693,0.252847292,-0.127359662,0.040693823,1.024780673,0.930745175,1.311408105,0.982851387,1.052595628,0.946363518,0.959573627,-31.45053699,5.55E-17,-0.41834,19.136898,0.825607776,0.749289187,0.270913902,0.288579311,0.696793155,0.266296467,2.434149547,1.925127002,3.718945977,0.353138622,0,0.085760099,0.046975611,1.008993318,0.0318,0,0,0,0,0,0,0,-2.00E-05,0.292903977,0.738807962,21.86085358,23.4863177,8,0,-0.456,1,Hydroxyl
CCOCCO,0,75.25,164.0517113,-0.126202219,-2.222132313,-1.077546437,-0.863094894,0.482829391,-3.100955654,0.117582937,0.293931956,-0.117648563,-0.220052818,0.101399202,0.155445301,0,-0.247139591,0.22080095,-0.160124611,0.021806854,1.005429146,0.614432986,1.271192281,0.676128577,1.08411215,0.924195223,1.018199705,-21.21030373,7.40E-17,-0.418325431,12.84807,0.388935954,0.3300598,0.270913902,0.291519569,0.266639189,0.399277246,1.925344207,1.207644823,3.565069071,0.615384615,0,0.104443645,0.064549722,1.006281865,0.0152,0,0,0,0,0,0,0,-4.00E-05,0.324698735,0.819787361,20.03378324,14.79229297,5,0,-0.266,1,Hydroxyl
C1=CC=C(C=C1)Cl,0,42.74074074,166.9984921,-0.007576781,0,-0.846014643,-0.381632571,0,3.706581451,0.054156743,-0.181241081,-0.184493342,-0.217566698,-0.132934288,0,0,-7.19E-05,0,-0.044890015,-0.000279,0.968954107,1.215538705,0.658492565,2.199525785,0.956561021,1.036219357,0.085857505,-1.907191857,0.013538349,-0.178589064,5.886035,0.237169352,0.082764824,1.053336623,0.433843808,0.029922257,0.919737596,1.721464227,0.810776389,2.708963957,0.966626785,0.188982237,0.070018212,0.039804781,0.998755766,2.34,0,0,0,0,1.485339506,0,0,0.01517,0.36960253,0.560220928,21.28508083,25.55964356,2.34375,0,1.604,1,Halogen
C1CCC1,0,28,184.917652,-0.013937849,0,-2.236498411,0.894599364,0,0,0.005270222,-1.96E-15,0.5,-0.454545455,1.18E-16,0,0,-0.454545455,0,-3.54E-16,0.5,0.6875,0,1.5,0,1.375,0.6875,0,0,0,-0.152797442,8.745656,0.083923071,0.270913902,0.270913902,0.943918427,0.399277246,0.399277246,1.207644823,1.207644823,2.257333958,0.666666667,0,0,0,0.962612285,1.5604,0,0,0,0,0,0,0,0,0.256152145,0.256152145,6.73287657,15.79950001,0.75,0,2.276,1,Other
C1CCCCCC1,0,85.75,169.0200999,-0.014634742,0,-2.348323331,-3.131097775,0,17.00817281,0.005270222,1.02E-16,-0.25,-0.25,4.51E-17,0,0,-0.25,0,-3.45E-16,-0.25,0.952380952,0,1.428571429,0,1.428571429,0.952380952,0,-25.09624587,3.84E-17,-0.152797442,15.304898,0.614914746,0.466222489,0.270913902,0.038370948,0.366102466,0.22154323,2.332680125,1.937675008,3.076806853,1.78E-15,0,0.176776695,0.125,0.962612285,2.7307,0,0,0,0,0,0,0,0,0.209068641,0.209068641,6.73287657,27.64912502,3.06122449,0,3.983,0,Other
C1CCCCC1,0,66.75,174.3192839,-0.012544065,0,-2.01284857,-4.00E-15,0,7.289216918,0.005270222,-0.142925822,-6.35E-16,-0.25,-0.117647059,0,0,-0.25,0,-3.47E-16,9.02E-17,1,0,1.416666667,0,1.416666667,1,0,-20.91899904,1.20E-16,-0.152797442,13.118484,0.666206401,0.522081792,0.270913902,0.037619229,0.425347018,0.399277246,2.141548494,1.207644823,2.896805253,0.666666667,0,0.176776695,0.125,0.962612285,2.3406,0,0,0,0,0,0,0,0,0.220218789,0.220218789,6.73287657,23.69925001,2.222222222,0,3.414,1,Other
C1CCC(CC1)O,0,104.8333333,174.3499334,-0.0030662,36.35710848,-1.962821579,-0.225969395,0.209846219,7.547051901,0.055923723,-0.174338344,-0.035783379,-0.228379064,-0.142600409,0.564543758,0,-0.026564665,0.490622199,-0.110921502,-0.066817752,0.900670762,1.33018434,1.221191063,1.135704162,1.012514221,1.051752834,1.150070267,-2.329891645,0.013566292,-0.418078765,13.118484,0.666206401,0.522081792,0.270913902,0.037619229,0.425347018,0.043425175,2.141548494,1.701593308,3.567850077,0.426773397,0.193649167,0.13512984,0.092683985,0.981983363,1.3114,0,0,0,0,0,0,0,0.01517,0.27482501,0.634375575,17.01021505,20.12195543,2.34375,0,1.329,1,Hydroxyl
C1CCCC1,0,50,184.917652,-0.010453387,0,-1.677373808,2.236498411,0,0,0.005270222,-0.303717372,0.5,-0.25,-0.25,0,0,-0.25,0,-3.50E-16,0.5,1.05,0,1.4,0,1.4,1.05,0,0,0,-0.152797442,10.93207,0.489263751,0.329734575,0.270913902,0.223569137,0.22154323,0.399277246,1.978039144,1.207644823,2.634421018,0.666666667,0,0.176776695,0,0.962612285,1.9505,0,0,0,0,0,0,0,0,0.235045188,0.235045188,6.73287657,19.74937501,1.44,0,2.845,1,Other
CCCCCCCCCC,3075.021321,110.25,166.8260839,-0.021126449,-12.29576654,-3.034998234,-0.094352277,-0.102214966,-0.533878192,0.005095234,-0.006063802,-0.006060606,-0.233939394,-0.005162738,-0.008754209,-0.014141414,-0.233939394,-0.008754209,-0.237026648,0.004830918,0.924977432,0.918143875,1.427878788,0.93044733,1.826086957,0.798711755,0.855762595,-34.38542531,1.17E-16,-0.170505165,24.050554,1.164335932,1.055524963,0.486878003,0.709480343,0.983965445,0.534158895,2.781097802,2.265278097,3.442789514,0.381370055,0,0.201184464,0.145710678,0.961443918,4.147,0,0,0,0,0,0,0,-2.00E-05,0.179207647,0.476052713,12.84418217,33.01842031,9,0,6.03,1,Other
CC(Cl)Cl,0,11.07407407,0,0.018261253,0,0.57666057,0,0,0,0.133640688,0.23877606,0,0.037696211,-0.408725755,0,0,0.15285156,0,-0.699365773,0,0.955247386,0,0.729261314,0,2.122452693,0.332848132,0,-0.605400583,0.005924174,-0.181346877,5.212828,0.866095012,0.527165958,3.254416321,1.03751253,0.676154433,2.193422774,1.191229107,0.238121062,2.166167883,2.166167883,0,0,0,1.038328478,1.81,0,0,0,0,0,0,0,0.04549,0.5,0.500698736,0,23.46691719,1.333333333,0,1.816,1,Halogen
C(CCl)Cl,0,11.19356805,0,-0.039454005,0,-1.713134855,0,0,0,0.133640688,0.282989953,0,-0.333333333,0.085980304,0,0,-0.333333333,0,-0.249541507,0,0.984420996,0,1.166666667,0,1.373395274,0.487359231,0,-14.41746136,5.55E-17,-0.214484807,5.212828,1.167491221,0.743753882,3.237732336,1.135457374,0.90669031,2.288828422,1.172931363,0.244289211,2.212967842,2.212967842,0,0,0,1.038328478,1.464,0,0,0,0,0,0,0,-5.00E-05,0.5,0.356207187,0,25,3,0,1.74,1,Halogen
C(Cl)Cl,0,0,0,-0.016583307,0,-1.130302524,0,0,0,0.1691628,0,0,-0.344613479,0,0,0,-0.364547249,0,-0.417446872,0,0,0,1.299450902,0,1.334893743,0,0,-0.203212253,3.70E-17,-0.185134112,3.026414,3.947438197,3.000222413,3.060437574,3.169564987,3.09458908,2.25123525,1.015923983,0.455883501,0.897119342,2.382383396,0,0,0,1.083758194,1.4215,0,0,0,0,0,0,0,0,0.655458754,0,0,19.03576457,2,0,1.519,1,Halogen
